Section,Question,English,Sección,Pregunta,Spanish
Gifts,40,"I see most actions as right or wrong, and feel the need to correct the wrong.",Dones,40,"Veo la mayoría de las acciones como correctas o incorrectas, y siento la necesidad de corregir lo incorrecto."
Gifts,41,When I talk about the bible it motivates others to study and to learn more.,Dones,41,"Cuando hablo de la Biblia, esto motiva a otros a estudiar y aprender más."
Gifts,42,"I reassure those who need to take courageous action in their faith, family, or life.",Dones,42,"Aliento a aquellos que necesitan tomar una acción valiente en su fe, familia o vida."
Gifts,43,People have told me that I have helped them to find their way back to God.,Dones,43,La gente me ha dicho que les he ayudado a encontrar el camino de regreso a Dios.
Gifts,44,I have great compassion for people who are struggling in life.,Dones,44,Tengo una gran compasión por las personas que están luchando en la vida.
Gifts,45,I am quick to respond when others need help.,Dones,45,Soy rápido para responder cuando otros necesitan ayuda.
Gifts,46,I give generously and joyfully to people in financial need or to projects requiring support.,Dones,46,Doy con generosidad y alegría a personas con necesidades financieras o proyectos que requieren apoyo.
Gifts,47,I set goals and manage people and resources effectively to accomplish them.,Dones,47,Establezco objetivos y administro personas y recursos de manera efectiva para lograrlos.
Gifts,48,I influence others to perform to the best of their capability.,Dones,48,Influyo en otros para que se desempeñen lo mejor que puedan.
Gifts,49,"I can often find simple, practical solutions in the midst of conflict or confusion.",Dones,49,A menudo puedo encontrar soluciones sencillas y prácticas en medio del conflicto o la confusión.
Gifts,50,I have the ability to discover new truths for myself through reading or observing situations.,Dones,50,Tengo la capacidad de descubrir nuevas verdades por mí mismo a través de la lectura o la observación de situaciones.
Gifts,51,People often tell me that the insights I give them are very reliable.,Dones,51,La gente suele decirme que las ideas que les doy son muy confiables.
Gifts,52,I enjoy pioneering new undertakings.,Dones,52,Disfruto siendo pionera en nuevos emprendimientos.
Gifts,53,I have experienced God actually helping people as I pray for them.,Dones,53,He experimentado que Dios realmente ayuda a las personas mientras oro por ellas.
Gifts,54,I can visualize how something should be constructed before I build it.,Dones,54,Puedo visualizar cómo debe construirse algo antes de construirlo.
Gifts,55,I help people understand themselves and God better through artistic expression.,Dones,55,Ayudo a las personas a entenderse mejor a sí mismas y a Dios a través de la expresión artística.
Gifts,56,I am ready to try the impossible because I have great trust in God.,Dones,56,Estoy dispuesto a intentar lo imposible porque tengo una gran confianza en Dios.
Gifts,57,I view my home as a place to minister to people in need.,Dones,57,Veo mi hogar como un lugar para ministrar a las personas necesitadas.
Gifts,58,I communicate the gospel to others with clarity and effectiveness.,Dones,58,Comunico el evangelio a otros con claridad y eficacia.
Gifts,59,I will speak God's truth even in places where it is unpopular or difficult to accept.,Dones,59,Diré la verdad de Dios incluso en lugares donde es impopular o difícil de aceptar.
Gifts,60,I can share complex ideas in a way that makes it easy for people to grasp and apply to their lives.,Dones,60,Puedo compartir ideas complejas de una manera que facilita que las personas las comprendan y las apliquen en sus vidas.
Gifts,61,I like motivating others to take their next step of spiritual growth.,Dones,61,Me gusta motivar a otros a dar el siguiente paso de crecimiento espiritual.
Gifts,62,I enjoy giving guidance and practical support to a small group of people.,Dones,62,Disfruto dando orientación y apoyo práctico a un pequeño grupo de personas.
Gifts,63,I can patiently support those going through painful experiences.,Dones,63,Puedo apoyar con paciencia a quienes atraviesan experiencias dolorosas.
Gifts,64,I enjoy doing routine tasks that support ministry.,Dones,64,Disfruto haciendo tareas rutinarias que apoyan el ministerio.
Gifts,65,I appreciate the opportunity to financially support a critical situation.,Dones,65,Agradezco la oportunidad de apoyar financieramente una situación crítica.
Gifts,66,"I like to organize people, tasks, and events.",Dones,66,"Me gusta organizar personas, tareas y eventos."
Gifts,67,I am able to cast a vision that others want to be a part of.,Dones,67,Soy capaz de proyectar una visión de la que otros quieren ser parte.
Gifts,68,I can apply truths from the bible that others regard as practical and helpful.,Dones,68,Puedo aplicar verdades de la Biblia que otros consideran prácticas y útiles.
Gifts,69,I discover new insights when reading the bible and people find those insights beneficial.,Dones,69,Descubro nuevas ideas cuando leo la Biblia y la gente encuentra esas ideas beneficiosas.
Gifts,70,I can tell the difference between truth and error even in complicated situations.,Dones,70,Puedo notar la diferencia entre la verdad y el error incluso en situaciones complicadas.
Gifts,71,People seem to be willing to follow my leadership without much resistance.,Dones,71,La gente parece estar dispuesta a seguir mi liderazgo sin mucha resistencia.
Gifts,72,"When I hear about needy situations, I pray.",Dones,72,"Cuando escucho sobre situaciones de necesidad, oro."
Gifts,73,I enjoy working with my hands and people appreciate the work I do.,Dones,73,Disfruto trabajar con mis manos y la gente aprecia el trabajo que hago.
Gifts,74,"I enjoy developing and using my artistic skills (art, drama, music, photography, etc.).",Dones,74,"Disfruto desarrollando y usando mis habilidades artísticas (arte, teatro, música, fotografía, etc.)."
Gifts,75,I am often ready to believe God will lead us through a situation when others feel it is impossible.,Dones,75,A menudo estoy dispuesto a creer que Dios nos guiará a través de una situación cuando otros sienten que es imposible.
Gifts,76,People seem to be very comfortable in my home.,Dones,76,La gente parece estar muy cómoda en mi casa.
Influencing Style,1,I am good at listening and taking in what people say,Estilo de Influencia,1,Soy bueno escuchando y asimilando lo que dice la gente.
Influencing Style,2,People say I am good at presenting information and ideas,Estilo de Influencia,2,La gente dice que soy bueno presentando información e ideas.
Influencing Style,3,"When I'm excited about something, I get others interested in it too",Estilo de Influencia,3,"Cuando estoy entusiasmado con algo, hago que otros también se interesen en eso."
Influencing Style,4,I accurately assess people based on first impressions & know instinctively it they are being real,Estilo de Influencia,4,Evalúo con precisión a las personas en función de las primeras impresiones y sé instintivamente si están siendo reales.
Influencing Style,5,I can be counted on to contribute original ideas,Estilo de Influencia,5,Se puede contar conmigo para aportar ideas originales.
Influencing Style,6,I see more value in building up something meaningful than always striking out into new initiatives,Estilo de Influencia,6,Veo más valor en construir algo significativo que lanzarse siempre a nuevas iniciativas
Influencing Style,7,I try explaining things in different ways if people are finding a concept difficult to understand,Estilo de Influencia,7,Trato de explicar las cosas de diferentes maneras si las personas encuentran un concepto difícil de entender.
Influencing Style,8,People with different value systems have said I have a positive effect when bringing new ideas,Estilo de Influencia,8,Personas con diferentes sistemas de valores han dicho que tengo un efecto positivo cuando aporto nuevas ideas.
Influencing Style,9,People comment that I am unusually creative,Estilo de Influencia,9,La gente comenta que soy inusualmente creativo.
Influencing Style,10,People describe me as entrepreneurial,Estilo de Influencia,10,La gente me describe como emprendedor.
Influencing Style,11,"When I communicate truth I see changes in people’s knowledge, attitudes, values or conduct",Estilo de Influencia,11,"Cuando comunico la verdad, veo cambios en el conocimiento, las actitudes, los valores o la conducta de las personas."
Influencing Style,12,I love to share information with others,Estilo de Influencia,12,Me encanta compartir información con otros.
Influencing Style,13,"I like to tell stories, especially my own",Estilo de Influencia,13,"Me gusta contar historias, especialmente la mía."
Influencing Style,14,I have just suddenly known something about someone,Estilo de Influencia,14,De repente me he enterado de algo acerca de alguien.
Influencing Style,15,I will be the first to try new things out if it will encourage others to do the same,Estilo de Influencia,15,Seré el primero en probar cosas nuevas si animará a otros a hacer lo mismo.
Influencing Style,16,I like to create safe places for people to flourish and grow,Estilo de Influencia,16,Me gusta crear lugares seguros para que las personas prosperen y crezcan.
Influencing Style,17,People have told me that I have helped them learn important truth in a meaningful way,Estilo de Influencia,17,La gente me ha dicho que les he ayudado a aprender una verdad importante de una manera significativa.
Influencing Style,18,I like to share what I believe,Estilo de Influencia,18,Me gusta compartir lo que creo.
Influencing Style,19,Sometimes I just intuitively know things that others seem to miss,Estilo de Influencia,19,A veces sé intuitivamente cosas que otros parecen pasar por alto
Influencing Style,20,"I can clarify goals, develop strategies and cast a vision to accomplish tasks",Estilo de Influencia,20,"Puedo aclarar objetivos, desarrollar estrategias y proyectar una visión para lograr tareas"
Influencing Style,21,I remember names or at least where I first met someone,Estilo de Influencia,21,Recuerdo nombres o al menos donde conocí a alguien
Influencing Style,22,I generally appreciate hard facts more than theories,Estilo de Influencia,22,"Por lo general, aprecio más los hechos concretos que las teorías."
Influencing Style,23,"I have enjoyed relating to a certain group of people over time, sharing successes and their failures",Estilo de Influencia,23,"He disfrutado relacionándome con cierto grupo de personas a lo largo del tiempo, compartiendo éxitos y sus fracasos."
Influencing Style,24,I sometimes get frustrated and depressed at the lack of faith or understanding of others around me,Estilo de Influencia,24,A veces me siento frustrado y deprimido por la falta de fe o comprensión de los que me rodean.
Influencing Style,25,I like change even when it makes others uncomfortable,Estilo de Influencia,25,Me gusta el cambio incluso cuando incomoda a los demás
Influencing Style,26,"I get concerned, and maybe even upset, at other people’s difficulties and problems",Estilo de Influencia,26,"Me preocupo, y tal vez incluso me molesto, por las dificultades y problemas de otras personas."
Influencing Style,27,I share what knowledge I have with others,Estilo de Influencia,27,Comparto el conocimiento que tengo con los demás.
Influencing Style,28,I think I would do well selling a product I really believed in,Estilo de Influencia,28,Creo que me iría bien en vender un producto en el que realmente creo.
Influencing Style,29,I am sensitively able to discern the real meaning behind things,Estilo de Influencia,29,Soy sensiblemente capaz de discernir el significado real detrás de las cosas.
Influencing Style,30,I love new challenges that require me to stretch and change,Estilo de Influencia,30,Me encantan los nuevos desafíos que requieren que me esfuerce y cambie
Influencing Style,31,I am quick to help when help is needed and often without being asked,Estilo de Influencia,31,"Soy rápido para ayudar cuando se necesita ayuda y, a menudo, sin que me lo pidan."
Influencing Style,32,I am able to discern the real meaning behind things,Estilo de Influencia,32,Soy capaz de discernir el significado real detrás de las cosas.
Influencing Style,33,I love to show people how to do things that I do well,Estilo de Influencia,33,Me encanta mostrarle a la gente cómo hacer las cosas que hago bien.
Influencing Style,34,I mix easily with a wide variety of people without having to try to be one of them,Estilo de Influencia,34,Me mezclo fácilmente con una amplia variedad de personas sin tener que intentar ser una de ellas.
Influencing Style,35,"I sometimes feel compelled to speak the truth, even if it makes others feel uncomfortable",Estilo de Influencia,35,"A veces me siento obligado a decir la verdad, incluso si hace que los demás se sientan incómodos"
Influencing Style,36,"I enjoy coming up with original ideas, dreaming big and thinking about visions for the future",Estilo de Influencia,36,"Disfruto tener ideas originales, soñar en grande y pensar en visiones para el futuro."
Influencing Style,37,"I like to provide a safe environment where people feel they are welcome, belong, and are cared for",Estilo de Influencia,37,"Me gusta proporcionar un entorno seguro donde las personas se sientan bienvenidas, pertenecientes y cuidadas."
Influencing Style,38,I enjoy relating to stories and sharing my experiences,Estilo de Influencia,38,Disfruto relacionándome con historias y compartiendo mis experiencias.
Influencing Style,39,People say I get passionate about the things I believe in and it shows,Estilo de Influencia,39,La gente dice que me apasionan las cosas en las que creo y se nota
Influencing Style,40,I enjoy meditation and thinking deeply about spiritual things,Estilo de Influencia,40,Disfruto meditando y pensando profundamente en cosas espirituales.
Influencing Style,41,I've always wanted to build a business/organization from the ground up so I can give vision to it,Estilo de Influencia,41,Siempre he querido construir una empresa/organización desde cero para poder darle una visión.
Influencing Style,42,"I am faithful in providing support, care and nurture for others over long periods of time",Estilo de Influencia,42,"Soy fiel a la hora de brindar apoyo, cuidar y nutrir a los demás durante largos períodos de tiempo."
Influencing Style,43,I get great satisfaction in accomplishing the details of a task,Estilo de Influencia,43,Obtengo una gran satisfacción al cumplir con los detalles de una tarea.
Influencing Style,44,I look for opportunities to socialize and build relationships with people that are different from me,Estilo de Influencia,44,Busco oportunidades para socializar y entablar relaciones con personas diferentes a mí.
Influencing Style,45,I have expressed my spiritual feelings as pictures or analogies,Estilo de Influencia,45,He expresado mis sentimientos espirituales como imágenes o analogías.
Influencing Style,46,Others have suggested that I am a person of unusual vision,Estilo de Influencia,46,Otros han sugerido que soy una persona de visión inusual.
Influencing Style,47,I find that people trust me and come to me regularly looking for my advice and help,Estilo de Influencia,47,Encuentro que la gente confía en mí y viene a mí regularmente en busca de mi consejo y ayuda.
Influencing Style,48,"I enjoy taking notes when someone is speaking, paying close attention to what they are saying",Estilo de Influencia,48,"Disfruto tomando notas cuando alguien habla, prestando mucha atención a lo que dice."
Influencing Style,49,I don’t mind getting on a soap box for things that are important to me,Estilo de Influencia,49,No me importa subirme a una caja para denunciar cosas que son importantes para mí.
Influencing Style,50,I have had dreams that I know were more significant than regular dreams,Estilo de Influencia,50,He tenido sueños que sé que fueron más significativos que los sueños normales.
Influencing Style,51,I like to help organizations become more efficient and often think about how things function,Estilo de Influencia,51,"Me gusta ayudar a las organizaciones a ser más eficientes y, a menudo, pienso en cómo funcionan las cosas."
Influencing Style,52,I have a real aversion to gossip and often stop it when I hear it,Estilo de Influencia,52,"Tengo una verdadera aversión a los chismes y, a menudo, los detengo cuando los escucho."
Influencing Style,53,"When I like a movie or restaurant, everyone will hear about it",Estilo de Influencia,53,"Cuando me gusta una película o un restaurante, todo el mundo se enterará"
Influencing Style,54,"I sometimes have an urge to share my thoughts with people, which end up being relevant to them",Estilo de Influencia,54,"A veces tengo ganas de compartir mis pensamientos con las personas, y terminan siendo relevantes para ellos."
Influencing Style,55,People tell me that the things I say often help them to try new things,Estilo de Influencia,55,La gente me dice que las cosas que digo a menudo les ayudan a probar cosas nuevas.
Influencing Style,56,People tell me that I care too much for others,Estilo de Influencia,56,La gente me dice que me preocupo demasiado por los demás.
Influencing Style,57,"I enjoy coming up with the best, most efficient way to do a task right",Estilo de Influencia,57,Me gusta pensar en la mejor y más eficiente manera de hacer bien una tarea.
Influencing Style,58,I find myself talking about things I’m passionate about to the people I meet,Estilo de Influencia,58,Me encuentro hablando de cosas que me apasionan con las personas que conozco
Influencing Style,59,Social justice for the poor and marginalized means a great deal to me,Estilo de Influencia,59,La justicia social para los pobres y marginados significa mucho para mí
Influencing Style,60,"Despite not enjoying the nitty-gritty details of leadership, I still often end up leading",Estilo de Influencia,60,"A pesar de no disfrutar los detalles esenciales del liderazgo, a menudo termino liderando"
Influencing Style,61,I think before I speak,Estilo de Influencia,61,Pienso antes de hablar
Influencing Style,62,I like to create safe environments where people can learn and mature,Estilo de Influencia,62,Me gusta crear ambientes seguros donde las personas puedan aprender y madurar
Influencing Style,63,I don't shy away from controversial subjects if they are important to me,Estilo de Influencia,63,No rehuyo los temas controversiales si son importantes para mí.
Influencing Style,64,I often have a strong sense of what to say to people in response to a particular situation,Estilo de Influencia,64,A menudo tengo un fuerte sentido de qué decirle a la gente en respuesta a una situación particular
Influencing Style,65,"When in a group, I am the one others often look to for vision and direction",Estilo de Influencia,65,"Cuando estoy en un grupo, soy a quien los demás a menudo buscan por visión y dirección."
Influencing Style,66,I am willing to challenge or confront people in order to help them mature,Estilo de Influencia,66,Estoy dispuesto a desafiar o confrontar a las personas para ayudarlas a madurar.
Influencing Style,67,"I enjoy digging out information, ideas, and metaphors to explain a concept",Estilo de Influencia,67,"Disfruto desenterrar información, ideas y metáforas para explicar un concepto."
Influencing Style,68,"Sometimes, in my enthusiasm, I push my views too far with people",Estilo de Influencia,68,"A veces, en mi entusiasmo, llevo mis puntos de vista demasiado lejos con la gente."
Influencing Style,69,My inspired thoughts surprise me with their clarity and unexpected direction,Estilo de Influencia,69,Mis pensamientos inspirados me sorprenden con su claridad y dirección inesperada
Influencing Style,70,"I have a clear vision, and others have said that they feel confident to go along with me",Estilo de Influencia,70,"Tengo una visión clara, y otros han dicho que se sienten seguros de seguirme."
Influencing Style,71,I sometimes have difficulty setting boundaries with needy people,Estilo de Influencia,71,A veces tengo dificultad para establecer límites con las personas necesitadas
Influencing Style,72,I try to think of different ways of expressing the truth,Estilo de Influencia,72,Trato de pensar en diferentes formas de expresar la verdad.
Influencing Style,73,I am interested in living and working overseas or among people from a different culture,Estilo de Influencia,73,Estoy interesado en vivir y trabajar en el extranjero o entre personas de una cultura diferente
Influencing Style,74,I regularly like to be alone for long periods of time to reflect and think,Estilo de Influencia,74,Regularmente me gusta estar solo durante largos períodos de tiempo para reflexionar y pensar.
Influencing Style,75,I get frustrated when I feel I’m not experiencing new things in my life,Estilo de Influencia,75,Me frustro cuando siento que no estoy experimentando cosas nuevas en mi vida
Influencing Style,76,I empathize with those who are hurting and can support them through their pain to wholeness,Estilo de Influencia,76,Empatizo con aquellos que están sufriendo y puedo apoyarlos a través de su dolor hasta que alcancen la plenitud.
Influencing Style,77,People have told me I have communicated timely words which felt directly from God,Estilo de Influencia,77,La gente me ha dicho que he comunicado palabras oportunas que sintieron fueron directamente de parte de Dios.
Influencing Style,78,I love to meet new people and get to know their story,Estilo de Influencia,78,Me encanta conocer gente nueva y conocer su historia.
Influencing Style,79,Sometimes I am reveal specific things that later happened or meant something at a later date,Estilo de Influencia,79,A veces revelo cosas específicas que sucedieron más tarde o significaron algo en una fecha posterior
Influencing Style,80,"When reading, it is easier for me to grasp the wider picture or message than the specific details",Estilo de Influencia,80,"Al leer, me resulta más fácil captar la imagen o el mensaje más amplio que los detalles específicos."
